fields.centroid;Année;Type EPCI;CODE GRAND SECTEUR;Code Departement;fields.nombre_de_mailles_secretisees;Nom COMMUNE;Nom Departement;Code EPCI;Code Region;Code COMMUNE;CODE SECTEUR NAF2;CODE CATEGORIE CONSOMMATION;Nb sites;Nom Region;Conso moyenne (MWh);Conso totale (MWh);Nom EPCI;geometry.type;geometry_coord;Superficie des logements 30 à 40 m2;Residences principales apres 2016;Residences principales de 2006 a 2015;Residences principales de 1991 a 2005;Superficie des logements 60 à 80 m2;Residences principales de 1946 a 1970;Residences principales avant 1919;Residences principales de 1971 a 1990;Superficie des logements 40 à 60 m2;Superficie des logements < 30 m2;Nombre d'habitants;Taux de logements collectifs;Residences principales de 1919 a 1945;Superficie des logements > 100 m2;Taux de résidences principales;Superficie des logements 80 à 100 m2;Taux de chauffage électrique;Conso moyenne usages thermosensibles (MWh);Conso moyenne corrigée de l'aléa climatique  usages thermosensibles (MWh);DJU à TR;Conso totale corrigée de l'aléa climatique  usages thermosensibles (MWh);Part thermosensible (%);Conso totale  usages thermosensibles (MWh);Thermosensibilité totale (kWh/DJU);Conso totale  usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh/DJU);Conso moyenne  usages non thermosensibles (MWh);DJU à TN
;2018;CC;INDUSTRIE;73;1;Saint-Maurice-de-Rotherens;Savoie;247300528;84;73260;;PRO;;Auvergne-Rhône-Alpes;;;CC Val Guiers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.648185166, 6.835514042];2018;CC;TERTIAIRE;73;0;Séez;Savoie;247300254;84;73285;93;ENT;1.0;Auvergne-Rhône-Alpes;137.61737758049244;137.61737758049244;CC de Haute-Tarentaise;Point;[6.835514042, 45.648185166];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.648185166, 6.835514042];2018;CC;TERTIAIRE;73;0;Séez;Savoie;247300254;84;73285;96;ENT;1.0;Auvergne-Rhône-Alpes;166.15231941274826;166.15231941274826;CC de Haute-Tarentaise;Point;[6.835514042, 45.648185166];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.824418677, 6.479431942];2018;CA;AGRICULTURE;73;0;Saint-Nicolas-la-Chapelle;Savoie;200068997;84;73262;;PRO;5.0;Auvergne-Rhône-Alpes;19.903531312692934;99.51765656346467;CA Arlysère;Point;[6.479431942, 45.824418677];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.824418677, 6.479431942];2018;CA;INCONNU;73;0;Saint-Nicolas-la-Chapelle;Savoie;200068997;84;73262;;PRO;8.0;Auvergne-Rhône-Alpes;18.589919585260485;148.71935668208388;CA Arlysère;Point;[6.479431942, 45.824418677];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.824418677, 6.479431942];2018;CA;INDUSTRIE;73;0;Saint-Nicolas-la-Chapelle;Savoie;200068997;84;73262;;PRO;8.0;Auvergne-Rhône-Alpes;17.835893840415046;142.68715072332037;CA Arlysère;Point;[6.479431942, 45.824418677];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.824418677, 6.479431942];2018;CA;TERTIAIRE;73;0;Saint-Nicolas-la-Chapelle;Savoie;200068997;84;73262;;PRO;39.0;Auvergne-Rhône-Alpes;9.471844192769641;369.401923518016;CA Arlysère;Point;[6.479431942, 45.824418677];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.824418677, 6.479431942];2018;CA;RESIDENTIEL;73;0;Saint-Nicolas-la-Chapelle;Savoie;200068997;84;73262;;RES;438.0;Auvergne-Rhône-Alpes;4.081598836047976;1787.7402901890134;CA Arlysère;Point;[6.479431942, 45.824418677];9.13707239463148;4.06092106428066;5.07615133035082;22.8426550997342;15.7360432372431;15.2284022173635;14.7208129711729;32.4873167405563;16.2436324834337;2.53804977833095;431.0;25.3550005189324;5.58374057654145;31.4720864744862;39.1809119221982;24.8731156318746;22.8426550997342;;;;;;;;;;;
[45.725843513, 6.01242409];2018;CA;AGRICULTURE;73;0;Saint-Offenge;Savoie;200068674;84;73263;;PRO;4.0;Auvergne-Rhône-Alpes;33.240567812807576;132.9622712512303;CA Grand Lac - CA du Lac du Bourget;Point;[6.01242409, 45.725843513];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.725843513, 6.01242409];2018;CA;TERTIAIRE;73;0;Saint-Offenge;Savoie;200068674;84;73263;;PRO;26.0;Auvergne-Rhône-Alpes;6.296640355434479;163.71264924129648;CA Grand Lac - CA du Lac du Bourget;Point;[6.01242409, 45.725843513];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.672511852, 5.791734892];2018;CC;INCONNU;73;1;Saint-Paul;Savoie;247300262;84;73269;;PRO;;Auvergne-Rhône-Alpes;;;CC de Yenne;Point;[5.791734892, 45.672511852];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.586991603, 6.407535394];2018;CA;INDUSTRIE;73;1;Saint-Paul-sur-Isère;Savoie;200068997;84;73268;;PRO;;Auvergne-Rhône-Alpes;;;CA Arlysère;Point;[6.407535394, 45.586991603];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.576339093, 6.160279584];2018;CC;TERTIAIRE;73;0;Saint-Pierre-d'Albigny;Savoie;200041010;84;73270;49;ENT;3.0;Auvergne-Rhône-Alpes;32.576607209619596;97.72982162885879;CC Coeur de Savoie;Point;[6.160279584, 45.576339093];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.576339093, 6.160279584];2018;CC;AGRICULTURE;73;0;Saint-Pierre-d'Albigny;Savoie;200041010;84;73270;;PRO;15.0;Auvergne-Rhône-Alpes;15.861991194605658;237.92986791908487;CC Coeur de Savoie;Point;[6.160279584, 45.576339093];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.41808717, 5.879820196];2018;CC;INCONNU;73;0;Saint-Pierre-d'Entremont;Savoie;200040111;84;73274;;ENT;1.0;Auvergne-Rhône-Alpes;3.8716666666666666;3.8716666666666666;CC Coeur de Chartreuse;Point;[5.879820196, 45.41808717];;;;;;;;;;;;;;;;;;;;;;;;;;;;
